title,pos_score_OL,neg_score_OL,pos_score_MPQA,neg_score_MPQA,pos_score_LIWC,neg_score_LIWC,pos_score_ANEW,neg_score_ANEW,length,date,country,continent
Battle of Vitoria,4.0936,3.5088,7.0175,4.0936,5.2632,1.1696,1.2047,2.0365,171,1813-06-21,Spain,Europe
Battle of the Coral Sea,3.378,2.2055,5.5276,3.2663,3.0151,1.1446,1.0835,0.1309,3582,1942-05-08,,
Easter Rising,5.1258,3.9333,8.9076,5.7517,5.2247,2.4904,2.0774,0.7365,15178,1916-04-29,,
Battle of Antietam,5.4682,3.0767,7.9807,6.234,3.6813,3.3186,2.2688,0.7126,7443,1862-09-17,United States,North America
Paris Commune,4.2649,3.4857,6.9510000000000005,3.9984,4.0599,1.9889,1.2831,0.3186,4877,1871-05-28,,
Battle of Adrianople,3.8082,4.2563,6.1828,5.7348,3.9427,2.957,1.235,0.3146,2232,0378-08-09,Turkey,Asia
Battle of Tours,5.3892,4.4533,8.5855,6.6661,4.3304,3.914,1.8988,0.6043,25217,0732-10-10,France,Europe
"United States presidential election, 2004",5.4256,4.2433,9.0712,5.3994,5.4388,2.207,2.4749,0.3568,15224,2004-11-02,,
Second Chechen War,3.9828,5.2860000000000005,7.7375,7.6873,4.1452,5.371,1.5142,2.1482,25861,2009-04-15,,
Falklands War,5.2873,5.2647,9.1157,7.9572,4.5766,4.0599,1.8691,1.3489,79928,1982-06-14,,
Battle of Bennington,3.742,3.0255,5.8121,4.1401,2.6274,2.3089,0.9568,0.4283,1256,1777-08-16,United States,North America
Warsaw Ghetto Uprising,3.576,3.8549,5.8838,4.6411,3.1955,2.8405,1.1962,0.7158,3943,1943-04-19,Poland,Europe
North Korea–United States relations,2.4059,2.0921,5.0209,2.9289,3.1381,0.7322,0.6857,0.0439,956,2007-11-04,,
Battle of Stalingrad,4.3819,5.8809,7.5145,8.0575,3.8582,4.132,1.628,0.962,20813,1942-08-23,Russia,Europe
War of 1812,5.2979,5.0084,8.9193,8.3901,4.8441,5.0651,2.1448,1.9201,160629,1815-02-18,,
Bay of Pigs Invasion,2.735,3.7967,5.1822,4.3095,2.834,2.0513,1.1457,0.412,11115,1961-04-19,,
Philippine–American War,3.9077,6.2879999999999985,7.0947,8.2319,3.7358,4.2251,1.6013,1.7080000000000002,15124,1899-06-02,,
"United States presidential election, 1788–89",3.4758,1.7849,5.4486,2.6303,3.1,1.1273,0.8464,0.0919,2129,1788-12-15,,
Battle of the River Plate,4.0875,3.5138,6.4539,5.5934,2.6533,4.1233,1.7838,0.6588,2789,1939-12-13,,
Charge at Krojanty,4.474,3.9903,6.4087,7.2551,4.1112,4.8368,1.75,0.7059,827,1939-09-01,Poland,Europe
Operation Deckhouse Five,2.7778,0.0,2.7778,0.0,2.7778,0.0,0.9306,0.0,36,1967-01-15,,
"United States presidential election, 1984",3.4461,3.0075,6.2029999999999985,5.3258,3.7594,2.3183,1.3827,0.6947,1596,1984-11-06,,
Battle of Leyte,3.0,0.0,4.0,0.0,4.0,0.0,1.8225,0.0,100,1944-12-26,Philippines,Asia
"United States presidential election, 2000",5.9603,4.3698,9.3421,5.631,5.2534,1.9439,2.1914,0.275,12449,2000-11-07,,
2003 invasion of Iraq,5.1806,5.8217,9.6094,8.3868,4.7037,4.5693,1.7588,1.5907,97498,2003-05-01,,
Battle of the Somme,5.3035,6.1594,8.0395,9.0263,4.1203,4.7283,1.6874,1.1324,21382,1916-11-18,France,Europe
War of the Austrian Succession,1.8474,1.0442,3.2129,1.6867,1.6867,0.5622,0.6155,0.1406,1245,1740-12-16,,
Marco Polo Bridge Incident,4.3597,3.4741,7.9019,4.9728,4.3597,3.6104,1.7064,1.404,1468,1937-07-09,China,Asia
October Crisis,2.978,3.8714,5.7772,4.7052,3.2758,2.3228,0.9617,1.3751,1679,1970-12-28,,
War on Terror,4.2363,5.6789999999999985,8.2215,8.7077,4.3784,5.5209,1.5954,2.0418,75278,2001-09-11,,
Halabja chemical attack,3.1978,5.6257,5.7639,6.6127,2.9807,3.5334,1.1168,1.0739,5066,1988-03-16,Iraq,Asia
Great Northern War,3.6416,4.2197,5.7803,6.474,3.526,4.2197,1.1918,1.4623,3460,1700-02-22,,
Battle of the Plains of Abraham,3.9655,3.0542,6.9951,6.2562,4.2365,3.7192,1.7191,1.3578,4060,1759-09-13,Canada,North America
Battle of Marston Moor,4.2039,3.0411,5.1878,4.2039,3.7567,1.6995,1.4709,0.4103,1118,1644-07-02,United Kingdom,Europe
"United States presidential election, 1800",4.2961,4.9689,8.0228,4.2443,4.2961,1.8116,1.7966,0.8253,1932,1800-12-06,,
Battle of Mogadishu (1993),3.6493,5.589,6.5425,7.5616,3.1342,4.3945,1.7632,1.0655,9125,1993-10-04,Somalia,Africa
Winter War,5.3006,5.5511,8.7797,8.075,4.226,4.6287,2.0866,1.4569,42712,1939-11-30,,
Battle of New Market,2.8571,2.8571,2.8571,7.1429,2.381,3.3333,1.5071,2.1512,210,1864-05-15,United States,North America
Gulf of Tonkin incident,2.7734,4.5752,5.847,5.3171,3.162,2.4731,1.2607,0.4728,5661,1964-08-02,,
"United States presidential election, 1996",3.5714,1.9151,7.5052,3.3126,3.1056,1.294,1.4836,0.0335,1932,1996-11-05,,
Operation Chastise,2.705,3.8039,5.4663,5.41,2.5641,2.0851,1.3857,0.779,3549,1943-05-17,,
Battle of Midway,4.8109,5.0222,7.4567,6.9128,3.9185,4.7212,1.6757,0.9615,18936,1942-06-07,,
Battle of Agincourt,5.4652,4.1497,8.8523,6.3294,4.7852,2.9423,1.6455,0.5423,15736,1415-10-25,France,Europe
Battles of Saratoga,3.3205,3.3686,6.2079,6.0635,3.6092,2.7911,1.2449,0.4312,2078,1777-10-07,United States,North America
Battle of Dunkirk,7.2889,4.4379,9.6288,7.3427,4.0075,4.7606,2.9153,0.5729,3718,1940-06-04,France,Europe
Battle of Flodden,4.2174,4.2174,7.4209,5.1095,3.974,2.7575,1.0205,0.3991,2466,1513-09-09,United Kingdom,Europe
Peasants' Revolt,3.4483,3.3156,5.1282,4.3767,3.0504,2.2989,1.0385,0.5445,2262,1381-05-30,,
Finnish Civil War,3.9674,4.3281,7.1667,4.8223,3.934,2.1574,1.8418,0.4113,14972,1918-05-15,,
Battle of Edgehill,3.9702,3.9702,5.7072,4.4665,3.4739,2.9777,1.7376,0.3964,403,1642-10-23,United Kingdom,Europe
Operation Provide Comfort,2.8011,1.9608,3.3613,2.2409,2.8011,1.1204,1.5336,0.3326,357,1996-12-31,,
Rum Rebellion,3.4682,1.1561,6.3584,1.7341,1.7341,0.0,0.5708,0.0,173,1808-01-26,,
Battle of Hemmingstedt,6.7164,6.7164,9.7015,7.4627,5.2239,6.7164,2.222,0.8358,134,1500-02-17,Germany,Europe
Battle of Bunker Hill,3.8692,2.3031,6.6789,3.0401,4.6522,1.3819,1.4175,0.327,2171,1775-06-17,United States,North America
1989 Loma Prieta earthquake,3.5387,3.3722,6.2864,4.1216,3.622,2.2898,1.3989,0.3296,2402,1989-10-17,United States,North America
Battle of Kursk,4.7701,7.3623,7.5416,8.9592,3.7172,5.751,1.4815,1.1462,48531,1943-08-23,,
Battle of the Falkland Islands,4.3161,5.2766,7.3386,7.1081,4.4314,3.8038,1.4588,0.9451,7808,1914-12-08,,
Operation Tailwind,3.3389,7.0117,5.9265,7.3456,2.4207,3.2554,1.2944,1.0845,1198,1970-09-13,,
Air France Flight 8969,2.4752,2.3102,1.9802,1.8152,1.4851,1.6502,1.4295,0.1196,606,1994-12-26,France,Europe
First Barbary War,3.7494,3.1958,5.8631,6.0644,3.9507,3.5984,1.4414,1.5177,3974,1801-05-10,,
Major League Baseball All-Star Game,3.5227,2.6705,6.0227,3.1818,4.5455,1.3636,1.0065,0.0807,1760,2015-07-14,,
Battle of Ramillies,2.71,4.878,4.878,4.607,2.9810000000000003,1.897,0.6734,0.6463,369,1706-05-23,Belgium,Europe
First Battle of Bull Run,3.5813,3.168,7.3691,4.4421,4.0978,2.1694,1.9964,0.6272,2904,1861-07-21,United States,North America
Lower Canada Rebellion,3.4539,5.8388,6.6612,7.5658,2.9605,3.9474,1.8324,0.5481,1216,1838-11-10,,
Operation Entebbe,4.6385,4.6385,7.8236,5.8771,4.095,2.7932,1.5439,0.8571,7912,1976-07-04,Uganda,Africa
Battle of Berlin,4.5381,5.8646,8.3832,7.8997,3.9033,4.7527,1.9036,1.3673,77345,1945-05-02,Germany,Europe
California gubernatorial recall election,3.7196,2.432,5.9371,3.2904,3.3619,1.073,1.0628,0.2743,1398,2003-10-07,,
Cuban Revolution,2.4942,4.8499,6.0508,5.4503,2.9561,1.6166,1.1904,0.5428,2165,1953-07-26,,
Battle of Fort Stedman,1.6129,1.6129,8.0645,3.2258,8.0645,1.6129,1.5565,0.0,62,1865-03-25,United States,North America
"Washington gubernatorial election, 2004",2.6751,3.3074,5.642,3.8911,2.8696,1.0214,0.8924,0.1109,2056,2004-11-02,,
American Civil War,5.2182,5.3956,9.4579,8.2919,4.2909,4.9283,2.0443,2.3145,109348,1865-06-22,,
Battle of Fort Pillow,2.4949,6.2118,4.7352,7.0265,2.444,3.7169,1.2047,0.3563,1964,1864-04-12,United States,North America
Battle of Hürtgen Forest,3.9494,3.6717,6.2944,5.3996,3.2706,4.1345,1.6127,0.6331,3241,1944-09-19,Germany,Europe
Royalist attack on Chaves,0.0,14.2857,0.0,14.2857,0.0,0.0,0.0,0.0,7,1912-07-08,,
Siege of Chaves,11.3636,3.4091,13.6364,5.6818,4.5455,1.1364,2.8665,0.0,88,1809-03-25,,
Battle of Pavia,4.1026,2.8205,6.9231,4.359,4.359,2.3077,1.2513,0.0,390,1525-02-24,Italy,Europe
Fall of Constantinople,4.6349,5.942,7.9627,7.5225,4.2681,2.9476,1.5949,0.7984,14995,1453-05-29,,
Continuation War,4.7376,5.582000000000002,8.3741,8.8343,4.5363,6.0529,1.917,1.7589,140577,1941-06-25,,
1931 Hawke's Bay earthquake,1.9943,5.1282,5.698,5.1282,2.5641,3.4188,1.6218,1.094,351,1931-02-03,New Zealand,Oceania
Lincoln County War,4.4715,3.8618,7.1138,5.4878,5.2846,2.2358,1.9441,0.9837,492,1878-07-19,,
Chinese Civil War,2.8351,4.4123,6.4589,7.8858,2.7413,4.4311,0.8707,1.9436,5326,1946-03-31,,
Battle of Verdun,4.752,4.2689,7.5849,6.7624,3.8642,3.3812,1.6171,0.836,7660,1916-12-20,France,Europe
Operation Blue Star,4.8845,8.261000000000001,9.0334,9.4821,4.605,4.6785,1.8097,1.2376,13594,1984-06-10,,
"Canadian federal election, 2004",4.7915,2.7798,7.7176,4.06,6.0351,1.3533,3.4518,0.3605,2734,2004-06-28,,
King Philip's War,3.0097,3.3321,5.4461,4.837,3.3321,1.9348,1.1011,0.5067,2791,1675-06-20,,
Battle of Las Navas de Tolosa,3.1657,4.0968,5.959,6.8901,2.7933,1.8622,0.8771,0.4711,537,1212-07-16,Spain,Europe
Operation Defensive Shield,5.2953,6.5537,9.2668,7.6229,4.1315,3.8624,1.7215,1.2831,13748,2002-05-03,,
Glastonbury Festival,3.1422,1.846,5.6559,3.1815,3.6528,0.9034,1.5981,0.1849,2546,2015-06-24,United Kingdom,Europe
Battle of Iwo Jima,3.3914,3.6188,5.6461,4.5851,3.4672,2.5957,1.5199,0.3183,5278,1945-03-26,,
1872 Lone Pine earthquake,3.4483,0.0,3.4483,0.0,3.4483,0.0,0.0,0.0,29,1872-03-26,United States,North America
An Lushan Rebellion,4.3401,3.9858,8.1045,5.6687,4.2516,3.6315,1.7427,0.5685,2258,0755-12-16,,
Korean War,4.4034,5.8794,7.7664,8.6821,4.2909,4.3967,1.8137,1.8423,89771,1953-07-27,,
Thermidorian Reaction,3.9894,5.7181,7.9787,6.117000000000001,3.4574,1.8617,0.7048,0.4076,752,1794-07-27,,
Battle of Pákozd,1.6304,3.2609,6.25,4.8913,4.0761,1.6304,1.6352,0.0,368,1848-09-29,,
Battle of Bosworth Field,3.42,3.0921,6.2075,4.2867,3.1038,1.9208,1.3037,0.2131,8538,1485-08-22,United Kingdom,Europe
Mukden Incident,2.9141,6.8507,6.4928,7.8732,2.9652,2.5562,1.6348,1.3885,1956,1932-02-18,,
"Ontario general election, 2003",9.061,1.318,11.0379,1.9769,1.9769,0.8237,0.5733,0.0,607,2003-10-02,,
Battle of Aachen,3.1674,3.1674,4.9774,4.0724,3.6199,1.3575,0.6753,0.3337,221,1944-10-21,Belgium,Europe
Cuban Missile Crisis,4.368,3.4142,7.2085,4.5684,3.2898,2.26,1.4298,0.5374,14469,1962-11-20,Cuba,North America
Battle of Khe Sanh,4.6423,4.7868,7.4241,6.4848,3.5766,3.9379,1.9312,1.0296,5536,1968-07-09,Vietnam,Asia
1755 Lisbon earthquake,4.7672,5.5478,8.0569,6.2448,4.5999,2.5927,2.2483,0.9535,3587,1755-11-01,,
Algerian War,2.0692,3.1361,4.0091,3.5564,1.7459,1.2609,0.8042,0.425,3093,1954-11-01,,
Battle of Okinawa,4.06,7.9097,6.6966,8.2393,3.6112,5.8481,1.7799,2.6352,14261,1945-06-22,,
Second Battle of El Alamein,3.4488,2.9171,5.5324,4.0667,2.6297,2.2992,1.3023,0.6097,6959,1942-11-11,Egypt,Africa
Hungarian Revolution of 1956,5.1967,5.607,9.3231,6.9988,5.1881,2.99,1.9866,0.7884,34849,1956-11-10,,
"Japanese general election, 2003",3.0769,4.6154,7.6923,3.0769,0.0,4.6154,0.2538,0.0,65,2003-11-09,,
Battle of Long Island,3.6893,2.2006,6.4725,3.0421,4.3366,1.6181,1.6178,0.1639,1545,1776-08-27,United States,North America
Dieppe Raid,4.6049,4.3239,7.572999999999999,5.7652,3.5544,2.8704,1.1823,0.706,8187,1942-08-19,France,Europe
"United States presidential election, 1956",3.172,3.8397,5.1753,5.5092,2.0033,2.5042,1.5989,0.6231,599,1956-11-06,,
Battle of Falkirk,4.5632,5.2151,7.6923,7.5619,4.3025,5.4759,2.6978,0.5453,767,1298-07-22,United Kingdom,Europe
European theatre of World War II,4.5461,7.7891,6.8118,8.5888,3.1838,5.3162,0.9739,1.7603,6753,1939-09-01,,
Pacific War,4.0319,3.1835,7.4528,6.0284,3.4715,3.6583,1.47,1.4963,25695,1941-12-07,,
Sieges of Stirling Castle,4.1667,2.5,9.1667,7.5,4.1667,3.3333,1.625,0.9646,120,1304-07-20,,
Battle of Cape St. Vincent (1780),3.5629,3.3254,8.3135,7.601,3.2067,5.3444,1.4445,1.8011,842,1780-01-16,,
Battle of Santiago de Cuba,4.1219,5.7348,6.4516,6.81,3.0466,3.5842,0.9924,0.8929,558,1898-07-03,,
1941 Iraqi coup d'état,1.6667,3.3333,5.0,3.3333,5.0,1.6667,1.6083,0.0,60,1941-04-01,,
Nine Years' War,2.2817,3.0754,3.5714,3.2738,1.6865,1.2897,0.682,0.1441,1008,1688-09-27,,
Hundred Days,3.2609,3.5284,6.1037,4.8161,3.0936,2.3746,1.2388,0.5037,5980,1815-07-08,,
First Intifada,4.809,6.9213,8.3596,7.5206,4.2697,3.1461,1.7419,1.0428,6675,1987-12-08,,
Operation Tonga,4.2567,2.0629,7.0072,3.3726,3.7001,1.408,1.2483,0.211,3054,1944-06-07,,
"United States Senate elections, 2004",1.462,2.0468,3.0702,2.924,1.7544,1.7544,0.4766,0.0983,684,2004-11-02,,
Operation Rolling Thunder,2.6042,4.6875,3.776,5.7292,2.7344,2.7344,0.8558,0.3385,768,1965-03-02,,
"Democratic Party presidential primaries, 2004",4.4397,1.5856,6.3425,2.4313,5.2854,1.4799,1.4154,0.1776,946,2004-06-08,,
Battle of Oudenarde,7.6023,1.1696,9.9415,2.924,8.1871,1.1696,1.9444,0.0,171,1708-07-11,Belgium,Europe
"United States House of Representatives elections, 2004",3.1496,2.8871,4.9869,3.4121,3.6745,1.5748,1.1732,0.185,381,2004-11-02,,
Modoc War,3.6585,3.8462,4.878,4.7842,3.7523,1.1257,1.8527,0.5718,1066,1872-07-06,,
Wounded Knee Massacre,4.8835,6.0335,7.9152,7.8704,3.7933,4.1816,2.3992,1.5491,6696,1890-12-29,United States,North America
The Secret Policeman's Ball,4.882,2.441,8.4622,3.1733,5.1261,1.3019,1.2512,0.0985,1229,2012-03-04,,
Saratoga campaign,1.3636,1.3636,3.1818,1.8182,1.3636,0.9091,0.4318,0.6920000000000001,220,1777-10-17,,
"Canadian federal election, 1972",8.6124,1.1962,11.0048,1.4354,4.7847,0.0,0.6423,0.0,418,1972-10-30,,
"United States presidential election, 1840",6.4327,1.7544,8.7719,1.7544,5.2632,1.7544,3.0073,0.6067,171,1840-12-02,,
Operation Red Dawn,3.3333,3.9394,6.4646,5.9596,3.4343,1.8182,1.4419,0.3462,990,2003-12-13,Iraq,Asia
Warsaw Uprising,4.2797,4.5529,7.2846,5.9279,3.8153,2.6225,1.0371,0.6281,10982,1944-10-02,Poland,Europe
Gallipoli Campaign,4.6236,3.4905,7.3384,5.7719,3.8707,2.7681,1.3573,0.6631,13150,1916-01-09,Turkey,Asia
"United States presidential election, 1856",4.1797,2.7168,7.8370000000000015,3.6573,3.1348,0.9404,1.4741,0.3404,957,1856-11-04,,
"United States presidential election, 2008",4.9795,3.2875,8.7892,4.9795,5.2287,1.946,2.0898,0.2688,83864,2008-11-04,,
"Russian legislative election, 2003",6.5574,6.5574,11.4754,8.1967,6.5574,3.2787,1.5943,0.0,61,2003-12-07,,
"United Kingdom general election, 1966",6.5868,2.994,7.7844,4.1916,5.988,1.7964,2.4057,0.0225,167,1966-03-31,,
Battle of Vienna,3.9181,2.2807,7.2515,3.2749,4.3275,1.462,1.2687,0.2575,1710,1683-09-12,,
Battle of Port Arthur,4.902,3.0812,7.0028,7.0028,3.0812,4.0616,1.5525,0.8519,714,1904-02-09,,
First Battle of the Stronghold,5.8201,3.1746,6.8783,5.291,6.3492,2.1164,1.7011,0.0,189,1873-01-17,,
Battle of Taierzhuang,1.3793,4.1379,5.8621,4.1379,4.8276,2.7586,1.0966,0.0,290,1938-04-07,China,Asia
Operation Weserübung,4.0387,4.3231,7.2810000000000015,6.0296,3.6405,2.6166,1.1172,0.4416,1758,1940-06-10,,
Operation Gothic Serpent,3.4653,3.9604,5.4455,4.9505,2.9703,1.9802,1.0891,0.271,202,1993-08-22,,
Operation Downfall,3.8433,5.4064,7.705,6.6385,3.4755,2.9239,1.2219,0.8649,5438,1945-11-01,,
Battle of Valcour Island,3.0145,3.1304,4.9275,5.2754,3.7101,3.942,1.1716,0.6717,1725,1776-10-11,United States,North America
Long March,3.9144,4.6451,6.3674,4.8539,2.8706,2.0355,0.7309,0.2249,1916,1934-10-16,,
"Iowa Democratic caucuses, 2004",3.7037,7.4074,0.0,7.4074,11.1111,0.0,5.962999999999999,0.0,27,2004-01-19,,
Allied invasion of Italy,2.2430000000000003,2.9907,4.6729,4.1121,2.8037,2.4299,1.1575,0.4112,535,1943-09-16,,
Battle of Lewes,0.9132,3.653,3.653,3.1963,3.653,1.8265,0.9269,0.0,219,1264-05-14,United Kingdom,Europe
Battle of Lake Erie,3.6353,2.1927,5.4818,4.5009,3.0583,1.7888,1.3123,0.6124,1733,1813-09-10,United States,North America
Iran–Iraq War,4.5603,4.4696,8.1528,7.3169,4.6889,4.1679,1.4521,1.7781,60654,1988-08-20,,
"Canadian federal election, 2000",1.9512,2.439,6.8293,3.9024,3.9024,1.9512,1.3793,0.3561,205,2000-11-27,,
Tet Offensive,4.6283,4.7153,6.9591,6.3898,3.724,3.6839,1.537,1.1583,14930,1968-09-23,,
Battle of Coronel,3.4709,4.2214,5.5347,4.5966,3.0019,2.3452,1.269,0.6864,1066,1914-11-01,,
Yugoslav Wars,4.1166,5.3481,7.6719,8.4073,4.1471,4.456,1.6116,1.8662,22980,1991-03-31,,
Beer Hall Putsch,4.0362,4.5305,5.9308,5.1071,3.6244,2.3888,0.8913,0.4808,1214,1923-11-09,Germany,Europe
"United Kingdom general election, 1992",4.5226,2.7638,7.7889,3.7688,3.5176,1.005,2.0691,0.4567,398,1992-04-09,,
Battle of Lepanto,3.8776,3.4694,7.3214,5.8418,3.852,2.9847,1.1014,0.4656,3920,1571-10-07,Greece,Europe
Operation Totalize,4.2521,4.8216,6.0364,6.568,3.7965,3.4169,1.3088,0.7739,2634,1944-08-13,France,Europe
"United Kingdom general election, 1997",2.8618,3.843,5.1513,4.4971,2.2077,1.5536,1.0405,0.2899,1223,1997-05-01,,
Soviet–Afghan War,3.9145,5.5445,6.4722,7.816,3.4073,3.9232,1.2963,1.4321,23068,1979-12-24,,
Battle of Leyte Gulf,3.6107,2.8014,6.0178,5.8518,3.4447,3.673,1.0702,0.1987,4819,1944-10-26,,
"Canadian federal election, 1921",1.7544,1.7544,3.5088,2.6316,3.5088,1.7544,0.6623,0.4693,114,1921-12-06,,
Spanish Armada,5.461,5.0004,8.1503,8.2737,4.1286,5.0498,2.4025,1.0913,12159,1588-08-08,,
Siege of Sarajevo,2.3863,4.2506,5.4437,5.6674,2.4236,2.3863,0.5138,0.343,2682,1992-04-05,Bosnia and Herz.,Europe
Battle of Aljubarrota,3.8168,2.799,8.9059,5.0891,4.0712,1.7812,1.0674,0.3632,393,1385-08-14,Portugal,Europe
Operation Market Garden,4.8186,4.5434,7.7558,6.5299,3.5026,3.8979,1.7122,1.0522,19985,1944-09-25,Netherlands,Europe
Lollapalooza,2.7143,3.2857,4.0,3.7143,2.8571,1.1429,0.7171,0.285,700,2015-08-02,,
"United States presidential election, 1980",1.4394,2.1212,3.4848,3.1061,2.0455,0.9091,0.8186,0.0419,1320,1980-11-04,,
Battle of Cut Knife,1.5038,3.0075,4.5113,3.0075,4.5113,1.5038,1.5639,0.0,133,1885-05-02,Canada,North America
Sydney Gay and Lesbian Mardi Gras,3.3283,2.4206,6.5809,3.8578,3.6309,1.3616,1.4409999999999998,0.3958,1322,2015-03-07,Australia,Oceania
Battle of France,7.0043,5.339,9.8797,8.4889,4.1426,4.79,2.2872,1.1173,43716,1940-06-25,,
Flagstaff War,1.9231,3.0449,3.6859,3.3654,2.8846,1.2821,1.3157,0.0,624,1845-03-11,,
"Iranian legislative election, 2004",0.0,0.0,7.6923,0.0,0.0,0.0,0.0,0.0,13,2004-02-20,,
Battle of Suomussalmi,3.5629,6.8884,7.1259,9.0261,2.6128,6.6508,1.4139,2.0196,421,1939-12-07,Finland,Europe
